game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key,game_type
sidearm-2023-08-09-Missouri-State-Northeast-Community-College,2023-08-09,Missouri State,Northeast Community College,false,false,,,home,scheduled,,,,2023-08-09-Missouri-State-Northeast-Community-College,regular
sidearm-2023-08-09-Western-Michigan-Brown-&-Gold,2023-08-09,Western Michigan,Brown & Gold,false,false,,,unknown,scheduled,,,,2023-08-09-Brown-&-Gold-Western-Michigan,regular
sidearm-2023-08-10-South-Florida-Southeastern-(Exh.),2023-08-10,South Florida,Southeastern,false,false,4,1,home,final,,,,2023-08-10-South-Florida-Southeastern,exhibition
sidearm-2023-08-10-Butler-Huntington,2023-08-10,Butler,Huntington,false,false,,,unknown,scheduled,,,,2023-08-10-Butler-Huntington,regular
sidearm-2023-08-10-Utah-Valley-Snow-College,2023-08-10,Utah Valley,Snow College,false,false,,,home,scheduled,,,,2023-08-10-Snow-College-Utah-Valley,regular
sidearm-2023-08-11-Campbell-(Exhibition)-North-Carolina,2023-08-11,Campbell,North Carolina,false,false,,,away,scheduled,,,,2023-08-11-Campbell-North-Carolina,exhibition
sidearm-2023-08-11-Kansas-City-Tulsa,2023-08-11,Kansas City,Tulsa,false,true,1,4,away,final,,,,2023-08-11-Kansas-City-Tulsa,regular
sidearm-2023-08-11-Bellarmine-Oakland-City-University,2023-08-11,Bellarmine,Oakland City University,false,false,,,unknown,scheduled,,,,2023-08-11-Bellarmine-Oakland-City-University,regular
sidearm-2023-08-11-Dayton-Bowling-Green-(Exh.),2023-08-11,Dayton,Bowling Green,false,false,2,1,unknown,final,,,,2023-08-11-Bowling-Green-Dayton,exhibition
sidearm-2023-08-11-Loyola-Chicago-Western-Michigan-(Ex.),2023-08-11,Loyola Chicago,Western Michigan,false,false,,,unknown,scheduled,,,,2023-08-11-Loyola-Chicago-Western-Michigan,exhibition
sidearm-2023-08-11-Rhode-Island-Northeastern,2023-08-11,Rhode Island,Northeastern,false,false,0,0,unknown,final,,,,2023-08-11-Northeastern-Rhode-Island,regular
sidearm-2023-08-11-VCU-Maryland-(Exhibition),2023-08-11,VCU,Maryland,false,false,,,unknown,scheduled,,,,2023-08-11-Maryland-VCU,exhibition
sidearm-2023-08-11-St.-John's-Fairleigh-Dickinson-(Exh.),2023-08-11,St. John's,Fairleigh Dickinson,false,false,,,home,scheduled,,,,2023-08-11-Fairleigh-Dickinson-St.-John's,exhibition
sidearm-2023-08-11-Mercer-(Ex.)-Gardner-Webb,2023-08-11,Mercer,Gardner-Webb,false,false,,,away,scheduled,,,,2023-08-11-Gardner-Webb-Mercer,exhibition
sidearm-2023-08-11-Indiana-Wright-State-(Exh.),2023-08-11,Indiana,Wright State,true,false,1,0,home,final,,,,2023-08-11-Indiana-Wright-State,exhibition
wmt-2023-08-11-Marquette-Northwestern,2023-08-11,Marquette,Northwestern,false,false,,,away,final,https://nusports.com/sports/mens-soccer/schedule,,,2023-08-11-Marquette-Northwestern,regular
wmt-2023-08-11-Georgetown-Penn-State,2023-08-11,Georgetown,Penn State,false,false,,,away,scheduled,https://gopsusports.com/sports/mens-soccer/schedule,,,2023-08-11-Georgetown-Penn-State,regular
