game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key
sidearm-2025-08-08-Boston-College-Fairfield,2025-08-08,Boston College,Fairfield,false,false,,,home,scheduled,,,,2025-08-08-Boston-College-Fairfield
sidearm-2025-08-08-Coastal-Carolina-Duke,2025-08-08,Coastal Carolina,Duke,false,false,1,1,away,final,,,,2025-08-08-Coastal-Carolina-Duke
sidearm-2025-08-08-DePaul-Michigan,2025-08-08,DePaul,Michigan,false,false,,,home,scheduled,,,,2025-08-08-DePaul-Michigan
sidearm-2025-08-08-DePaul-(Ex.)-Michigan,2025-08-08,DePaul (Ex.),Michigan,false,false,,,away,scheduled,,,,2025-08-08-DePaul-(Ex.)-Michigan
wmt-2025-08-08-American-Penn-State,2025-08-08,Penn State,American,false,false,,,home,final,https://gopsusports.com/sports/mens-soccer/schedule,,,2025-08-08-American-Penn-State
wmt-2025-08-08-CSU-Bakersfield-UCLA,2025-08-08,UCLA,CSU Bakersfield,false,false,,,home,scheduled,https://uclabruins.com/sports/mens-soccer/schedule,,,2025-08-08-CSU-Bakersfield-UCLA
sidearm-2025-08-08-Georgetown-(Exh.)-West-Virginia,2025-08-08,Georgetown (Exh.),West Virginia,false,false,,,away,scheduled,,,,2025-08-08-Georgetown-(Exh.)-West-Virginia
wmt-2025-08-09-Charlotte-Clemson,2025-08-09,Clemson,Charlotte,false,false,,,home,scheduled,https://clemsontigers.com/sports/mens-soccer/schedule,,,2025-08-09-Charlotte-Clemson
sidearm-2025-08-09-Louisville-Lindsey-Wilson-College-(Ky.)-(EXH),2025-08-09,Louisville,Lindsey Wilson College (Ky.) (EXH),false,false,,,home,scheduled,,,,2025-08-09-Lindsey-Wilson-College-(Ky.)-(EXH)-Louisville
wmt-2025-08-09-Notre-Dame-Ohio-State,2025-08-09,Ohio State,Notre Dame,false,false,,,away,scheduled,https://fightingirish.com/sports/msoc/schedule,,,2025-08-09-Notre-Dame-Ohio-State
