game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,dedupe_key
sidearm-2025-01-01-Boston-College-Fairfield,2025-01-01,Boston College,Fairfield,,,,,unknown,scheduled,,,2025-01-01-Boston-College-Fairfield
sidearm-2025-01-01-Boston-College-UConn,2025-01-01,Boston College,UConn,,,,,unknown,scheduled,,,2025-01-01-Boston-College-UConn
sidearm-2025-01-01-Boston-College-Binghamton,2025-01-01,Boston College,Binghamton,,,1,0,unknown,final,,https://bceagles.com/sports/mens-soccer/stats/2025/binghamton/boxscore/26162,2025-01-01-Binghamton-Boston-College
sidearm-2025-01-01-Boston-College-Siena,2025-01-01,Boston College,Siena,,,1,3,unknown,final,,https://bceagles.com/sports/mens-soccer/stats/2025/siena/boxscore/26163,2025-01-01-Boston-College-Siena
sidearm-2025-01-01-Boston-College-Providence,2025-01-01,Boston College,Providence,,,0,2,unknown,final,,,2025-01-01-Boston-College-Providence
sidearm-2025-01-01-Boston-College-Northeastern,2025-01-01,Boston College,Northeastern,,,1,0,unknown,final,,,2025-01-01-Boston-College-Northeastern
sidearm-2025-01-01-California-Boston-College,2025-01-01,California,Boston College,,,2,0,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/boston-college/boxscore/37898,2025-01-01-Boston-College-California
sidearm-2025-01-01-Boston-College-Unknown-Opponent,2025-01-01,Boston College,Unknown Opponent,,,,,unknown,scheduled,,,2025-01-01-Boston-College-Unknown-Opponent
sidearm-2025-01-01-Boston-College-Dean,2025-01-01,Boston College,Dean,,,14,0,unknown,final,,https://bceagles.com/sports/mens-soccer/stats/2025/dean/boxscore/26421,2025-01-01-Boston-College-Dean
sidearm-2025-01-01-Boston-College-Virginia-Tech,2025-01-01,Boston College,Virginia Tech,,,1,0,unknown,final,,https://bceagles.com/sports/mens-soccer/stats/2025/virginia-tech/boxscore/26167,2025-01-01-Boston-College-Virginia-Tech
sidearm-2025-01-01-NC-State-Boston-College,2025-01-01,NC State,Boston College,,,2,0,unknown,final,,,2025-01-01-Boston-College-NC-State
sidearm-2025-01-01-Boston-College-Boston-University,2025-01-01,Boston College,Boston University,,,2,1,unknown,final,,,2025-01-01-Boston-College-Boston-University
sidearm-2025-01-01-Boston-College-Stanford,2025-01-01,Boston College,Stanford,,,2,4,unknown,final,,https://bceagles.com/sports/mens-soccer/stats/2025/duke/boxscore/26172,2025-01-01-Boston-College-Stanford
sidearm-2025-01-01-Syracuse-Boston-College,2025-01-01,Syracuse,Boston College,,,1,0,unknown,final,,https://cuse.com/sports/mens-soccer/stats/2025/boston-college/boxscore/18468,2025-01-01-Boston-College-Syracuse
sidearm-2025-01-01-Duke-Boston-College,2025-01-01,Duke,Boston College,,,0,0,unknown,final,,,2025-01-01-Boston-College-Duke
sidearm-2025-01-01-Boston-College-AIC,2025-01-01,Boston College,AIC,,,5,0,unknown,final,,,2025-01-01-AIC-Boston-College
sidearm-2025-01-01-SMU-Boston-College,2025-01-01,SMU,Boston College,,,3,2,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/boston-college/boxscore/14075,2025-01-01-Boston-College-SMU
sidearm-2025-01-01-Boston-College-Notre-Dame,2025-01-01,Boston College,Notre Dame,,,0,1,unknown,final,,https://bceagles.com/sports/mens-soccer/stats/2025/notre-dame/boxscore/26175,2025-01-01-Boston-College-Notre-Dame
sidearm-2025-01-01-Boston-College-Saint-Joseph's,2025-01-01,Boston College,Saint Joseph's,,,2,1,unknown,final,,https://bceagles.com/sports/mens-soccer/stats/2025/saint-joseph-s/boxscore/26176,2025-01-01-Boston-College-Saint-Joseph's
sidearm-2025-01-01-California-Sacramento-State,2025-01-01,California,Sacramento State,,,,,unknown,scheduled,,,2025-01-01-California-Sacramento-State
sidearm-2025-01-01-California-UC-Davis,2025-01-01,California,UC Davis,,,,,unknown,scheduled,,,2025-01-01-California-UC-Davis
sidearm-2025-01-01-California-Saint-Mary's,2025-01-01,California,Saint Mary's,,,3,2,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/saint-mary-s/boxscore/37894,2025-01-01-California-Saint-Mary's
