game_id,date,home_team_name,away_team_name,home_score,away_score,location_type,status,schedule_url,boxscore_url,dedupe_key
sidearm-2025-01-01-Boston-College-Unknown-Opponent,2025-01-01,Boston College,Unknown Opponent,,,unknown,scheduled,,https://bceagles.com/sports/mens-soccer/stats/2025/virginia-tech/boxscore/26167,2025-01-01-Boston-College-Unknown-Opponent
sidearm-2025-01-01-California-Unknown-Opponent,2025-01-01,California,Unknown Opponent,,,unknown,scheduled,,,2025-01-01-California-Unknown-Opponent
sidearm-2025-01-01-Duke-Unknown-Opponent,2025-01-01,Duke,Unknown Opponent,,,unknown,scheduled,,,2025-01-01-Duke-Unknown-Opponent
sidearm-2025-01-01-Louisville-Unknown-Opponent,2025-01-01,Louisville,Unknown Opponent,,,unknown,scheduled,,https://gocards.com/sports/mens-soccer/stats/2025/university-of-kentucky/boxscore/25683,2025-01-01-Louisville-Unknown-Opponent
sidearm-2025-01-01-NC-State-Unknown-Opponent,2025-01-01,NC State,Unknown Opponent,,,unknown,scheduled,,,2025-01-01-NC-State-Unknown-Opponent
sidearm-2025-01-01-Pittsburgh-Unknown-Opponent,2025-01-01,Pittsburgh,Unknown Opponent,,,unknown,scheduled,,,2025-01-01-Pittsburgh-Unknown-Opponent
"sidearm-2025-01-01-Stanford-Stanford,-CA",2025-01-01,Stanford,"Stanford, CA",,,unknown,scheduled,,,"2025-01-01-Stanford-Stanford,-CA"
"sidearm-2025-01-01-Stanford-Santa-Clara,-CA",2025-01-01,Stanford,"Santa Clara, CA",,,unknown,scheduled,,,"2025-01-01-Santa-Clara,-CA-Stanford"
"sidearm-2025-01-01-Stanford-Louisville,-KY",2025-01-01,Stanford,"Louisville, KY",,,unknown,scheduled,,,"2025-01-01-Louisville,-KY-Stanford"
"sidearm-2025-01-01-Stanford-Syracuse,-NY",2025-01-01,Stanford,"Syracuse, NY",,,unknown,scheduled,,,"2025-01-01-Stanford-Syracuse,-NY"
"sidearm-2025-01-01-Stanford-San-Jose,-CA",2025-01-01,Stanford,"San Jose, CA",,,unknown,scheduled,,,"2025-01-01-San-Jose,-CA-Stanford"
"sidearm-2025-01-01-Stanford-Winston-Salem,-NC",2025-01-01,Stanford,"Winston-Salem, NC",,,unknown,scheduled,,,"2025-01-01-Stanford-Winston-Salem,-NC"
"sidearm-2025-01-01-Stanford-Berkeley,-CA",2025-01-01,Stanford,"Berkeley, CA",,,unknown,scheduled,,,"2025-01-01-Berkeley,-CA-Stanford"
sidearm-2025-01-01-Stanford-Unknown-Opponent,2025-01-01,Stanford,Unknown Opponent,,,unknown,scheduled,,,2025-01-01-Stanford-Unknown-Opponent
sidearm-2025-01-01-Syracuse-Unknown-Opponent,2025-01-01,Syracuse,Unknown Opponent,,,unknown,scheduled,,,2025-01-01-Syracuse-Unknown-Opponent
sidearm-2025-01-01-North-Carolina-Unknown-Opponent,2025-01-01,North Carolina,Unknown Opponent,,,unknown,scheduled,,,2025-01-01-North-Carolina-Unknown-Opponent
