player_key,player_name,team_id,jersey_number,games_played,minutes,goals,assists,shots,shots_on_goal,saves
northcarolina:klinkdan,"Klink, Dan",North Carolina,9,10,340,6,1,19,11,0
northcarolina:abealnacho,"Abeal, Nacho",North Carolina,7,10,782,4,4,30,14,0
northcarolina:rygaardhansenbertil,"Rygaard Hansen, Bertil",North Carolina,19,10,709,3,4,20,11,0
pittsburgh:vilamitjanaarnau,"Vilamitjana, Arnau",Pittsburgh,14,2,174,4,2,6,4,0
northcarolina:nikolailuca,"Nikolai, Luca",North Carolina,13,10,928,2,5,30,8,0
syracuse:omezechimere,"Omeze, Chimere",Syracuse,2,11,747,3,2,12,5,0
syracuse:zambranocarlos,"Zambrano, Carlos",Syracuse,10,11,612,2,3,21,7,0
syracuse:brdarictim,"Brdaric, Tim",Syracuse,4,11,944,3,0,6,4,0
northcarolina:brackenserragabriel,"Bracken Serra, Gabriel",North Carolina,29,10,654,1,4,11,4,0
syracuse:darkolandon,"Darko, Landon",Syracuse,21,11,406,2,2,8,4,0
ncstate:phillipdonavan,"Phillip, Donavan",NC State,7,3,195,3,0,11,4,0
pittsburgh:thorsenalbert,"Thorsen, Albert",Pittsburgh,9,2,170,2,2,16,8,0
syracuse:mingsachiel,"Ming, Sachiel",Syracuse,24,11,533,2,0,7,3,0
syracuse:acquahmichael,"Acquah, Michael",Syracuse,19,11,246,2,0,7,4,0
northcarolina:duganryan,"Dugan, Ryan",North Carolina,11,10,236,0,4,0,0,0
pittsburgh:srensenniklas,"Sørensen, Niklas",Pittsburgh,5,2,180,0,4,2,0,0
pittsburgh:oliverlogan,"Oliver, Logan",Pittsburgh,6,2,180,2,0,2,2,0
smu:clantonpimentelryan,"Clanton-Pimentel, Ryan",SMU,27,2,145,1,2,2,1,0
cal:7lukicluka,"7 
                                            Lukic, Luka",CAL,7,1,90,2,0,5,2,0
siena:stalkercampbell,"Stalker, Campbell",Siena,12,1,61,2,0,3,2,0
northflorida:graniturluc,"Granitur, Luc",North Florida,11,1,53,2,0,3,2,0
uab:faganpatrik,"Fagan, Patrik",UAB,19,2,44,2,0,2,2,0
syracuse:fortierkristjan,"Fortier, Kristjan",Syracuse,26,11,876,0,3,12,2,0
syracuse:mensahjrernest,"Mensah Jr., Ernest",Syracuse,3,11,432,0,3,6,2,0
ncstate:catontyler,"Caton, Tyler",NC State,12,3,225,1,1,4,1,0
northcarolina:antoneliuscharlie,"Antonelius, Charlie",North Carolina,6,10,221,1,1,5,3,0
smu:brunetcharlesemile,"Brunet, Charles-Emile",SMU,8,2,173,1,1,3,2,0
smu:soghomonianstephan,"Soghomonian, Stephan",SMU,30,2,101,1,1,2,1,0
hofstra:goddardlaurie,"Goddard, Laurie",Hofstra,27,1,90,1,1,5,3,0
virginia:simmondsnicholas,"Simmonds, Nicholas",Virginia,7,1,70,1,1,3,1,0
siena:maralee,"Mara, Lee",Siena,11,1,66,1,1,3,3,0
northcarolina:sandmeyerjack,"Sandmeyer, Jack",North Carolina,28,10,913,1,0,10,6,0
syracuse:leiboldgiona,"Leibold, Giona",Syracuse,17,11,703,0,2,10,6,0
syracuse:rodriguezbryson,"Rodriguez, Bryson",Syracuse,11,11,517,1,0,10,5,0
syracuse:scottnathan,"Scott, Nathan",Syracuse,7,11,506,1,0,8,6,0
ncstate:lovelacedrew,"Lovelace, Drew",NC State,22,3,183,1,0,7,3,0
pittsburgh:cartergrayson,"Carter, Grayson",Pittsburgh,20,2,168,0,2,4,0,0
virginiatech:quilldeclan,"Quill, Declan",Virginia Tech,7,2,163,1,0,6,3,0
smu:mitchelljaylinn,"Mitchell, Jaylinn",SMU,7,2,155,0,2,3,0,0
northflorida:riosrafa,"Rios, Rafa",North Florida,21,1,110,0,2,0,0,0
smu:emmanuelmukisa,"Emmanuel, Mukisa",SMU,20,2,93,1,0,7,2,0
smc:6toelhoejbastian,"6 
                                            Toelhoej, Bastian",SMC,6,1,90,1,0,1,1,0
duke:kerrdrew,"Kerr, Drew",Duke,10,1,90,1,0,3,1,0
duke:hotkenan,"Hot, Kenan",Duke,23,1,90,1,0,1,1,0
notredame:fergusonmitch,"Ferguson, Mitch",Notre Dame,2,1,90,1,0,1,1,0
hofstra:burkodaniel,"Burko, Daniel",Hofstra,21,1,90,1,0,3,2,0
bostoncollege:brownrussell,"Brown, Russell",Boston College,17,2,80,1,0,7,4,0
kc:10gallucciogabriele,"10 
                                            Galluccio, Gabriele",KC,10,1,72,0,2,0,0,0
cornell:carnevalewestin,"Carnevale, Westin",Cornell,23,1,71,1,0,1,1,0
smc:3dilleytj,"3 
                                            Dilley, TJ",SMC,3,1,66,1,0,2,2,0
kc:27muttittwade,"27 
                                            Muttitt, Wade",KC,27,1,62,1,0,5,3,0
kc:7beunzamariano,"7 
                                            Beunza, Mariano",KC,7,1,58,1,0,1,1,0
smu:25floresluis,"25 
                                            Flores, Luis",SMU,25,1,58,1,0,3,2,0
cal:8wilkersoncam,"8 
                                            Wilkerson, Cam",CAL,8,1,55,1,0,3,1,0
ncstate:ogawamax,"Ogawa, Max",NC State,21,3,50,1,0,2,2,0
louisville:leemichael,"Lee, Michael",Louisville,11,1,46,1,0,1,1,0
cornell:donahueblake,"Donahue, Blake",Cornell,13,1,39,1,0,2,1,0
maryland:ritaritarocket,"Ritarita, Rocket",Maryland,23,1,36,1,0,1,1,0
virginia:beauvoistriton,"Beauvois, Triton",Virginia,15,1,33,1,0,1,1,0
smu:19lopezmilton,"19 
                                            Lopez, Milton",SMU,19,1,32,1,0,3,1,0
smu:hickamlandon,"Hickam, Landon",SMU,16,2,30,1,0,1,1,0
ncstate:team,TEAM,NC State,TM,1,0,1,0,0,0,0
syracuse:huttomas,"Hut, Tomas",Syracuse,25,11,990,0,1,0,0,58
northcarolina:kroppdylan,"Kropp, Dylan",North Carolina,4,10,940,0,1,2,0,0
northcarolina:frogsoncallum,"Frogson, Callum",North Carolina,23,10,911,0,1,2,1,0
syracuse:wigggavin,"Wigg, Gavin",Syracuse,12,11,802,0,1,3,1,0
ncstate:moloneyriley,"Moloney, Riley",NC State,3,3,225,0,1,4,1,0
ncstate:healytaig,"Healy, Taig",NC State,10,3,193,0,1,10,6,0
smu:starnesslade,"Starnes, Slade",SMU,5,2,180,0,1,2,1,0
virginiatech:feliciojoao,"Felicio, Joao",Virginia Tech,24,2,180,0,1,0,0,0
smu:salvoalex,"Salvo, Alex",SMU,6,2,168,0,1,1,0,0
bostoncollege:burkhardtjack,"Burkhardt, Jack",Boston College,23,2,159,0,1,2,0,0
ncstate:lamaillethomas,"Lamaille, Thomas",NC State,5,3,137,0,1,1,0,0
ncstate:tommycalem,"Tommy, Calem",NC State,13,3,135,0,1,0,0,0
