game_id,season,date,week,home,away,home_score,away_score,neutral,home_elo_before,away_elo_before,elo_diff,elo_change
sidearm-2016-08-11-Xavier-Rio-Grande,2016,2016-08-11,2016-08-08,Xavier,Rio Grande,2,0,,1500.0,1262.6,293.6,10.08
sidearm-2016-08-12-Missouri-State-Northeastern-State,2016,2016-08-12,2016-08-08,Missouri State,Northeastern State,4,0,,1500.0,1262.6,293.6,14.77
sidearm-2016-08-12-Oregon-State-British-Columbia,2016,2016-08-12,2016-08-08,Oregon State,British Columbia,3,1,,1500.0,1262.6,293.6,10.08
sidearm-2016-08-12-St.-John's-Manhattan-(Exh.),2016,2016-08-12,2016-08-08,St. John's,Manhattan,2,1,,1500.0,1500.0,56.3,18.01
sidearm-2016-08-13-Eastern-Illinois-Saint-Xavier-(Ill.)-(exhib.),2016,2016-08-13,2016-08-08,Eastern Illinois,Saint Xavier (Ill.),2,0,,1500.0,1262.6,293.6,10.08
sidearm-2016-08-13-Kansas-City-MidAmerica-Nazarene-(Exhibition),2016,2016-08-13,2016-08-08,Kansas City,MidAmerica Nazarene,0,2,,1500.0,1262.6,293.6,-62.11
sidearm-2016-08-13-Longwood-Virginia,2016,2016-08-13,2016-08-08,Longwood,Virginia,0,1,,1500.0,1500.0,56.3,-25.52
sidearm-2016-08-13-Loyola-Chicago-Western-Michigan,2016,2016-08-13,2016-08-08,Loyola Chicago,Western Michigan,0,0,,1500.0,1500.0,56.3,-5.03
sidearm-2016-08-13-Marquette-Wright-State-(exh.),2016,2016-08-13,2016-08-08,Marquette,Wright State,1,2,,1500.0,1500.0,56.3,-25.52
sidearm-2016-08-13-Memphis-(EX)-Louisville,2016,2016-08-13,2016-08-08,Memphis,Louisville,1,1,,1500.0,1500.0,56.3,-5.03
sidearm-2016-08-13-Oakland-Bowling-Green,2016,2016-08-13,2016-08-08,Oakland,Bowling Green,1,3,,1500.0,1262.6,293.6,-62.11
wmt-2016-08-13-Clemson-UAB,2016,2016-08-13,2016-08-08,Clemson,UAB,2,1,,1500.0,1500.0,56.3,18.01
wmt-2016-08-13-Sacramento-State-Stanford,2016,2016-08-13,2016-08-08,Stanford,Sacramento State,5,0,,1500.0,1500.0,56.3,46.57
sidearm-2016-08-14-Butler-Indy-Eleven,2016,2016-08-14,2016-08-08,Butler,Indy Eleven,0,2,,1500.0,1262.6,293.6,-62.11
sidearm-2016-08-14-College-of-Charleston-(Exh.)-North-Florida,2016,2016-08-14,2016-08-08,Charleston,North Florida,2,1,,1500.0,1500.0,56.3,18.01
sidearm-2016-08-14-Drake-Iowa-Western-(Exhibition),2016,2016-08-14,2016-08-08,Drake,Iowa Western,4,1,,1500.0,1262.6,293.6,12.72
sidearm-2016-08-14-Furman-Wake-Forest,2016,2016-08-14,2016-08-08,Furman,Wake Forest,0,0,,1500.0,1500.0,56.3,-5.03
sidearm-2016-08-14-Northern-Kentucky-Rio-Grande-(Exhibition),2016,2016-08-14,2016-08-08,Northern Kentucky,Rio Grande,3,1,,1500.0,1252.6,303.7,9.58
sidearm-2016-08-14-Radford-VMI,2016,2016-08-14,2016-08-08,Radford,VMI,2,0,,1500.0,1500.0,56.3,28.55
sidearm-2016-08-14-Tulsa-Maryland,2016,2016-08-14,2016-08-08,Tulsa,Maryland,2,6,,1500.0,1500.0,56.3,-59.26
sidearm-2016-08-14-UConn-(exh)-UMass,2016,2016-08-14,2016-08-08,UConn,UMass,2,0,,1500.0,1500.0,56.3,28.55
sidearm-2016-08-14-Western-Illinois-DePaul,2016,2016-08-14,2016-08-08,Western Illinois,DePaul,2,1,,1500.0,1500.0,56.3,18.01
wmt-2016-08-14-Notre-Dame-SIUE,2016,2016-08-14,2016-08-08,SIUE,Notre Dame,0,0,,1262.6,1500.0,-181.1,15.00
sidearm-2016-08-15-#21-Coastal-Carolina-(EXH)-NC-State,2016,2016-08-15,2016-08-15,Coastal Carolina,NC State,6,1,,1500.0,1500.0,56.3,46.57
sidearm-2016-08-15-Oakland-Akron,2016,2016-08-15,2016-08-15,Oakland,Akron,1,0,,1437.9,1500.0,-5.9,22.12
sidearm-2016-08-15-Pacific-CSU-Bakersfield,2016,2016-08-15,2016-08-15,Pacific,CSU Bakersfield,2,0,,1500.0,1262.6,293.6,10.08
sidearm-2016-08-15-South-Carolina-(exhibition)-North-Carolina,2016,2016-08-15,2016-08-15,South Carolina,North Carolina,1,1,1,1500.0,1500.0,0.0,0.00
sidearm-2016-08-15-Temple-University-Lafayette-(Exhibition),2016,2016-08-15,2016-08-15,Temple University,Lafayette,1,0,,1500.0,1500.0,56.3,18.01
sidearm-2016-08-15-UNC-Wilmington-Gardner-Webb,2016,2016-08-15,2016-08-15,UNC Wilmington,Gardner-Webb,1,0,,1500.0,1500.0,56.3,18.01
sidearm-2016-08-15-USC-Upstate-Spartanburg-Methodist-(Exh.),2016,2016-08-15,2016-08-15,USC Upstate,Spartanburg Methodist,1,0,,1500.0,1262.6,293.6,6.36
sidearm-2016-08-15-William-&-Mary-Old-Dominion-(Exhibition),2016,2016-08-15,2016-08-15,William & Mary,Old Dominion,3,3,,1500.0,1500.0,56.3,-5.03
sidearm-2016-08-16-Belmont-University-[22/24]-Charlotte,2016,2016-08-16,2016-08-15,Belmont University,Charlotte,0,5,,1500.0,1500.0,56.3,-65.98
sidearm-2016-08-16-Butler-Ohio-State,2016,2016-08-16,2016-08-15,Butler,Ohio State,2,1,,1437.9,1500.0,-5.9,22.12
sidearm-2016-08-16-Dayton-Milwaukee-(Exhibition),2016,2016-08-16,2016-08-15,Dayton,Milwaukee,0,0,,1500.0,1500.0,56.3,-5.03
sidearm-2016-08-16-Detroit-Mercy-Marquette-(Exh.),2016,2016-08-16,2016-08-15,Detroit Mercy,Marquette,1,5,,1500.0,1474.5,81.8,-63.22
sidearm-2016-08-16-Georgia-Southern-SCAD-(Exh.),2016,2016-08-16,2016-08-15,Georgia Southern,SCAD,3,0,,1500.0,1262.6,293.6,12.72
sidearm-2016-08-16-Hofstra-(Exh.)-St.-John's,2016,2016-08-16,2016-08-15,Hofstra,St. John's,1,1,,1500.0,1518.0,38.2,-3.44
sidearm-2016-08-16-Indiana-Tech-Purdue-Fort-Wayne,2016,2016-08-16,2016-08-15,Indiana Tech,Purdue Fort Wayne,0,4,,1262.6,1500.0,-181.1,-25.30
sidearm-2016-08-16-IU-Indy-UIC,2016,2016-08-16,2016-08-15,IU Indy,UIC,0,0,,1500.0,1500.0,56.3,-5.03
sidearm-2016-08-16-Loyola-Chicago-Indiana,2016,2016-08-16,2016-08-15,Loyola Chicago,Indiana,2,0,,1495.0,1500.0,51.2,29.07
sidearm-2016-08-16-Marshall-Rio-Grande,2016,2016-08-16,2016-08-15,Marshall,Rio Grande,1,2,,1500.0,1243.0,313.3,-40.03
sidearm-2016-08-16-Quinnipiac-Southern-Connecticut-State-(Scrimmage),2016,2016-08-16,2016-08-15,Quinnipiac,Stonehill College,3,0,,1500.0,1500.0,56.3,36.03
sidearm-2016-08-16-Rhode-Island-/-Exhibition-UMass-Lowell,2016,2016-08-16,2016-08-15,Rhode Island / Exhibition,UMass Lowell,2,1,,1262.6,1500.0,-181.1,33.44
sidearm-2016-08-16-San-Francisco-Cal-State-East-Bay-(Exhib.),2016,2016-08-16,2016-08-15,San Francisco,Cal State East Bay,5,2,,1500.0,1262.6,293.6,12.72
sidearm-2016-08-16-UAB-AUM-(Exh.),2016,2016-08-16,2016-08-15,UAB,AUM,4,0,,1482.0,1262.6,275.6,16.17
sidearm-2016-08-16-West-Virginia-Pitt-(Exh.)-,2016,2016-08-16,2016-08-15,West Virginia,Pittsburgh,2,0,,1500.0,1500.0,56.3,28.55
sidearm-2016-08-16-Wisconsin-Northern-Illinois-(Exh.),2016,2016-08-16,2016-08-15,Wisconsin,Northern Illinois,1,1,,1500.0,1262.6,293.6,-21.58
sidearm-2016-08-16-Wofford-Appalachian-State-University-(EX),2016,2016-08-16,2016-08-15,Wofford,Appalachian State,0,0,,1500.0,1262.6,293.6,-21.58
wmt-2016-08-16-Colgate-Northwestern,2016,2016-08-16,2016-08-15,Northwestern,Colgate,2,1,1,1500.0,1262.6,237.4,8.39
wmt-2016-08-16-ETSU-Virginia-Tech,2016,2016-08-16,2016-08-15,Virginia Tech,ETSU,3,1,,1500.0,1500.0,56.3,28.55
sidearm-2016-08-17-Central-Arkansas-Christian-Brothers-University,2016,2016-08-17,2016-08-15,Central Arkansas,Christian Brothers University,3,0,,1500.0,1262.6,293.6,12.72
sidearm-2016-08-17-Creighton-Missouri-State,2016,2016-08-17,2016-08-15,Creighton,Missouri State,2,0,,1500.0,1514.8,41.5,30.07
sidearm-2016-08-17-Drake-Eastern-Illinois-(Exhibition),2016,2016-08-17,2016-08-15,Drake,Eastern Illinois,2,4,,1512.7,1510.1,58.9,-40.73
sidearm-2016-08-17-Fordham-Fairleigh-Dickinson-(Exhib.),2016,2016-08-17,2016-08-15,Fordham,Fairleigh Dickinson,1,1,,1500.0,1262.6,293.6,-21.58
sidearm-2016-08-17-George-Washington-James-Madison-(Exh.),2016,2016-08-17,2016-08-15,George Washington,James Madison,2,2,,1500.0,1500.0,56.3,-5.03
sidearm-2016-08-17-Manhattan-Monroe-College-(Exhibition),2016,2016-08-17,2016-08-15,Manhattan,Monroe College,1,3,,1482.0,1262.6,275.6,-60.82
sidearm-2016-08-17-Navy-Maryland-(Exhibition),2016,2016-08-17,2016-08-15,Navy,Maryland,0,1,,1500.0,1559.3,-3.0,-21.52
sidearm-2016-08-17-Saint-Louis-Kansas-City,2016,2016-08-17,2016-08-15,Saint Louis,Kansas City,2,1,,1500.0,1437.9,118.4,14.23
sidearm-2016-08-17-Seton-Hall-LIU-Brooklyn,2016,2016-08-17,2016-08-15,Seton Hall,LIU Brooklyn,3,1,,1500.0,1262.6,293.6,10.08
sidearm-2016-08-17-USC-Upstate-Bluefield-College-(Exh.),2016,2016-08-17,2016-08-15,USC Upstate,Bluefield College,0,0,,1506.4,1262.6,300.0,-21.88
sidearm-2016-08-17-UTRGV-St.-Edward's-University,2016,2016-08-17,2016-08-15,UTRGV,St. Edward's University,0,0,,1500.0,1262.6,293.6,-21.58
wmt-2016-08-17-Bradley-Notre-Dame,2016,2016-08-17,2016-08-15,Bradley,Notre Dame,1,0,,1262.6,1485.0,-166.1,32.56
wmt-2016-08-17-Cal-Poly-Stanford,2016,2016-08-17,2016-08-15,Cal Poly,Stanford,1,2,,1500.0,1546.6,9.7,-22.38
wmt-2016-08-17-San-Diego-State-Santa-Clara,2016,2016-08-17,2016-08-15,San Diego State,Santa Clara,3,2,,1500.0,1500.0,56.3,18.01
sidearm-2016-08-18-Michigan-State-Syracuse,2016,2016-08-18,2016-08-15,Michigan State,Syracuse,2,2,1,1500.0,1500.0,0.0,0.00
sidearm-2016-08-18-Milwaukee-Parkside,2016,2016-08-18,2016-08-15,Milwaukee,Parkside,5,0,,1505.0,1262.6,298.7,16.02
sidearm-2016-08-18-Oakland-Indiana,2016,2016-08-18,2016-08-15,Oakland,Indiana,0,4,,1460.0,1470.9,45.3,-57.55
sidearm-2016-08-18-Oral-Roberts-USAO,2016,2016-08-18,2016-08-15,Oral Roberts,USAO,2,0,,1500.0,1262.6,293.6,10.08
sidearm-2016-08-18-Radford-Charleston-(W.Va.),2016,2016-08-18,2016-08-15,Radford,Charleston,1,1,,1528.6,1518.0,66.8,-5.95
sidearm-2016-08-18-Winthrop-South-Carolina-(Exhibition),2016,2016-08-18,2016-08-15,Winthrop,South Carolina,2,3,,1500.0,1500.0,56.3,-25.52
sidearm-2016-08-19-Akron-Michigan,2016,2016-08-19,2016-08-15,Akron,Michigan,1,0,,1477.9,1500.0,34.1,19.45
sidearm-2016-08-19-Dayton-SIUE-(Exhibition),2016,2016-08-19,2016-08-15,Dayton,SIUE,0,1,,1495.0,1277.6,273.6,-38.28
sidearm-2016-08-19-Detroit-Mercy-Bowling-Green-(Exh.),2016,2016-08-19,2016-08-15,Detroit Mercy,Bowling Green,1,2,,1436.8,1324.8,168.3,-32.69
sidearm-2016-08-19-Gardner-Webb-Lees-McRae,2016,2016-08-19,2016-08-15,Gardner-Webb,Lees-McRae,0,1,,1482.0,1262.6,275.6,-38.37
sidearm-2016-08-19-Northwestern-(Exh.)-St.-John's,2016,2016-08-19,2016-08-15,Northwestern,St. John's,1,1,1,1508.4,1521.5,-13.1,1.18
sidearm-2016-08-19-Oregon-State-Portland,2016,2016-08-19,2016-08-15,Oregon State,Portland,2,2,,1510.1,1500.0,66.3,-5.91
sidearm-2016-08-19-Tulsa-Oklahoma-Wesleyan-,2016,2016-08-19,2016-08-15,Tulsa,Oklahoma Wesleyan,0,0,,1440.7,1262.6,234.4,-18.43
sidearm-2016-08-19-UMBC-American,2016,2016-08-19,2016-08-15,UMBC,American,2,1,,1500.0,1500.0,56.3,18.01
sidearm-2016-08-19-Wright-State-(Exhibition)-Purdue-Fort-Wayne,2016,2016-08-19,2016-08-15,Wright State,Purdue Fort Wayne,0,0,1,1525.5,1525.3,0.2,-0.02
sidearm-2016-08-20-#34-VCU-(EXH)-NC-State,2016,2016-08-20,2016-08-15,VCU,NC State,0,2,,1500.0,1453.4,102.8,-45.35
sidearm-2016-08-20-at-New-Mexico-Washington,2016,2016-08-20,2016-08-15,at New Mexico,Washington,1,0,,1262.6,1500.0,-181.1,33.44
sidearm-2016-08-20-Belmont-University-Cincinnati,2016,2016-08-20,2016-08-15,Belmont University,Cincinnati,1,1,,1434.0,1262.6,227.6,-18.03
sidearm-2016-08-20-Butler-Michigan-State,2016,2016-08-20,2016-08-15,Butler,Michigan State,3,2,,1460.0,1500.0,16.3,20.63
sidearm-2016-08-20-California-(Exhib.)-San-Francisco,2016,2016-08-20,2016-08-15,California,San Francisco,2,2,,1500.0,1512.7,43.5,-3.91
sidearm-2016-08-20-Creighton-Wisconsin,2016,2016-08-20,2016-08-15,Creighton,Wisconsin,1,3,,1530.1,1478.4,107.9,-45.87
sidearm-2016-08-20-Duquesne-Pittsburgh-(EXHIB.),2016,2016-08-20,2016-08-15,Duquesne,Pittsburgh,1,2,,1500.0,1471.4,84.8,-27.43
sidearm-2016-08-20-Eastern-Illinois-Illinois-Springfield-(exhib.),2016,2016-08-20,2016-08-15,Eastern Illinois,University of Illinois Springfield,1,1,,1550.8,1262.6,344.4,-23.75
sidearm-2016-08-20-ETSU-Milligan-(Ex),2016,2016-08-20,2016-08-15,ETSU,Milligan,6,0,,1471.4,1262.6,265.1,20.59
sidearm-2016-08-20-Georgia-Southern-(Exhibition)-UNC-Asheville,2016,2016-08-20,2016-08-15,Georgia Southern,UNC Asheville,1,2,,1512.7,1500.0,69.0,-26.38
sidearm-2016-08-20-IU-Indy-Evansville,2016,2016-08-20,2016-08-15,IU Indy,University of Evansville,0,1,,1495.0,1500.0,51.2,-25.18
sidearm-2016-08-20-Loyola-Chicago-UIC,2016,2016-08-20,2016-08-15,Loyola Chicago,UIC,3,1,,1524.0,1505.0,75.3,26.65
sidearm-2016-08-20-Marshall-Radford,2016,2016-08-20,2016-08-15,Marshall,Radford,1,2,,1460.0,1522.6,-6.4,-21.29
sidearm-2016-08-20-Monmouth-(Exhibition)-Temple-University,2016,2016-08-20,2016-08-15,Monmouth,Temple University,1,2,,1500.0,1518.0,38.2,-24.31
sidearm-2016-08-20-Mt.-San-Antonio-College-UC-Riverside,2016,2016-08-20,2016-08-15,Mt. San Antonio College,UC Riverside,1,0,,1262.6,1500.0,-181.1,33.44
sidearm-2016-08-20-Nebraska-Omaha-(exh.)-Marquette,2016,2016-08-20,2016-08-15,Omaha,Marquette,1,1,,1500.0,1537.7,18.6,-1.67
