identity,player_name,team,conference,season,jersey_number,games,minutes,goals,assists,shots,shots_on_goal,saves,goals_against,is_keeper,keeper_games,impact,impact_per90,opponent_strength,rating,qualified,division_one
FGCU::ruizalbert,"RUIZ, Albert",FGCU,ASUN,2016,11,19,1282,22,5,57,39,0,0.0,false,0,31.218,1.7015,1493,100,true,true
Mercyhurst::derksthom,"Derks, Thom",Mercyhurst,NEC,2016,9,21,1821,21,6,105,62,0,0.0,false,0,30.884,1.2844,1302,99.9,true,true
Vermont::wrightbrian,"Wright, Brian",Vermont,America East,2016,7,22,1821,14,12,75,41,0,0.0,false,0,30.519,1.2700,1458,99.8,true,true
Notre Dame::jongallagher,Jon Gallagher,Notre Dame,ACC,2016,8,21,1658,14,7,85,43,0,0.0,false,0,30.024,1.3470,1542,99.9,true,true
Maryland::wildgordon,"Wild, Gordon",Maryland,Big Ten,2016,8,21,1491,17,5,76,42,0,0.0,false,0,28.695,1.4013,1503,99.9,true,true
Providence::gresseljulian,"GRESSEL, Julian",Providence,Big East,2016,24,19,1678,14,5,78,41,0,0.0,false,0,28.679,1.2775,1550,99.8,true,true
Temple University::gomezsanchezjorge,"Gomez Sanchez, Jorge",Temple University,American,2016,9,17,1461,14,3,98,41,0,0.0,false,0,26.440,1.3171,1506,99.9,true,true
Stanford::langsdorffoster,"Langsdorf, Foster",Stanford,ACC,2016,2,23,1984,16,2,66,40,0,0.0,false,0,25.838,1.0118,1558,98.9,true,true
Butler::goldsmithdavid,"Goldsmith, David",Butler,Big East,2016,20,20,1870,12,4,85,41,0,0.0,false,0,25.634,1.0536,1521,99.2,true,true
Marist::harrcameron,"Harr, Cameron",Marist,Metro,2016,10,19,1521,17,1,80,39,0,0.0,false,0,23.040,1.1218,1425,99.6,true,true
Mercyhurst::gonzalezjorge,"Gonzalez, Jorge",Mercyhurst,NEC,2016,11,20,1345,15,4,85,49,0,0.0,false,0,22.840,1.2217,1304,99.7,true,true
FGCU::sobersassuearion,"SOBERS-ASSUE, Arion",FGCU,ASUN,2016,21,19,1188,11,11,42,19,0,0.0,false,0,21.626,1.2721,1489,99.8,true,true
Charlotte::bronicobrandt,"Bronico, Brandt",Charlotte,American,2016,10,19,1567,11,6,53,27,0,0.0,false,0,21.234,1.0156,1518,99,true,true
Princeton::seifertgreg,"Seifert, Greg",Princeton,Ivy,2016,9,17,1385,11,4,67,34,0,0.0,false,0,20.670,1.0887,1475,99.4,true,true
Creighton::lennonriggs,"Lennon, Riggs",Creighton,Big East,2016,9,24,1570,10,1,91,32,0,0.0,false,0,20.121,0.9645,1550,98.7,true,true
Liberty::mbuyutresor,"Mbuyu, Tresor",Liberty,Southern,2016,11,16,1368,9,9,44,28,0,0.0,false,0,20.116,1.0714,1439,99.3,true,true
Vermont::yeboahbernard,"Yeboah, Bernard",Vermont,America East,2016,10,22,1603,11,4,62,31,0,0.0,false,0,19.919,0.9401,1458,98.5,true,true
Creighton::lopezespinricky,"Lopez-Espin, Ricky",Creighton,Big East,2016,7,24,1686,11,2,64,28,0,0.0,false,0,19.502,0.8860,1550,98.2,true,true
Lindenwood::dokajxhovani,"Dokaj, Xhovani",Lindenwood,Ohio Valley,2016,16,18,1420,16,4,61,32,0,0.0,false,0,19.182,0.9967,1273,98.9,true,true
Butler::suddicklewis,"Suddick, Lewis",Butler,Big East,2016,8,20,1726,11,4,51,25,0,0.0,false,0,19.180,0.8564,1521,97.8,true,true
UIC::toddmax,"Todd, Max",UIC,Missouri Valley,2016,7,20,1658,7,8,66,30,0,0.0,false,0,19.130,0.8819,1442,98.1,true,true
Lipscomb::paynterlogan,"PAYNTER, Logan",Lipscomb,ASUN,2016,22,18,1477,11,4,40,28,0,0.0,false,0,18.946,0.9561,1485,98.6,true,true
Iona::huertasdaniel,"Huertas, Daniel",Iona,Metro,2016,15,16,1301,8,4,72,35,0,0.0,false,0,18.618,1.0354,1430,99.2,true,true
Fordham::loebejanos,"LOEBE, Janos",Fordham,Atlantic 10,2016,10,20,1806,6,5,70,33,0,0.0,false,0,18.481,0.7982,1469,96.6,true,true
Maryland::sejdicamar,"Sejdic, Amar",Maryland,Big Ten,2016,10,21,1428,8,8,36,18,0,0.0,false,0,18.171,0.9440,1503,98.5,true,true
UMass Lowell::abramovicivan,"Abramovic, Ivan",UMass Lowell,America East,2016,22,15,1077,9,7,38,22,0,0.0,false,0,17.894,1.1446,1471,99.6,true,true
Louisville::thiawmohamed,"Thiaw, Mohamed",Louisville,ACC,2016,10,19,1208,11,2,42,24,0,0.0,false,0,17.809,1.0496,1565,99.2,true,true
Central Arkansas::brodackiniklas,"Brodacki, Niklas",Central Arkansas,ASUN,2016,18,18,1626,14,2,53,26,0,0.0,false,0,17.602,0.8293,1405,97.5,true,true
Michigan::atuahenefrancis,"Atuahene, Francis",Michigan,Big Ten,2016,10,17,1389,7,4,67,28,0,0.0,false,0,17.463,0.9294,1512,98.4,true,true
Grand Canyon::jacksonniki,"Jackson, Niki",Grand Canyon,Mountain West,2016,9,17,1326,11,2,62,28,0,0.0,false,0,17.418,0.9600,1470,98.7,true,true
Rider University::otmanielliott,"Otmani, Elliott",Rider University,Metro,2016,9,19,1598,6,8,65,24,0,0.0,false,0,17.354,0.8297,1461,97.5,true,true
Marquette::prpaluka,"Prpa, Luka",Marquette,Big East,2016,14,16,1483,10,6,43,19,0,0.0,false,0,17.310,0.8770,1495,98,true,true
Michigan State::sierakowskiryan,"Sierakowski, Ryan",Michigan State,Big Ten,2016,11,19,1637,9,4,50,23,0,0.0,false,0,17.294,0.8116,1515,97,true,true
Western Michigan::byebrandon,"BYE, Brandon",Western Michigan,Missouri Valley,2016,19,19,1464,8,3,69,33,0,0.0,false,0,17.263,0.8835,1464,98.2,true,true
St. Thomas::heydtmark,"Heydt, Mark",St. Thomas,Summit,2016,3,25,2297,7,10,45,28,0,0.0,false,0,17.095,0.6101,1296,91,true,true
Penn State::maloneyconnor,"Maloney, Connor",Penn State,Big Ten,2016,5,17,1489,8,5,60,25,0,0.0,false,0,17.088,0.8640,1481,97.9,true,true
Akron::lewisjonathan,"Lewis, Jonathan",Akron,Big East,2016,11,22,1673,2,12,44,21,0,0.0,false,0,16.920,0.7820,1491,96.4,true,true
Villanova::polleymiguel,"POLLEY, Miguel",Villanova,Big East,2016,9,21,1855,6,8,30,21,0,0.0,false,0,16.893,0.7192,1538,95,true,true
UMass Lowell::fernandeswuilito,"Fernandes, Wuilito",UMass Lowell,America East,2016,10,15,868,10,5,40,18,0,0.0,false,0,16.803,1.2517,1471,99.7,true,true
Indiana::thompsontanner,"Thompson, Tanner",Indiana,Big Ten,2016,10,21,1830,8,3,60,26,0,0.0,false,0,16.584,0.7149,1512,94.8,true,true
St. John's::cooksleyharry,"Cooksley, Harry",St. John's,Big East,2016,23,15,990,4,6,63,25,0,0.0,false,0,16.443,1.1231,1515,99.6,true,true
University of Evansville::mcgrathian,"McGrath, Ian",University of Evansville,Missouri Valley,2016,8,19,1537,11,1,56,25,0,0.0,false,0,16.369,0.8106,1454,97,true,true
UConn::thiamabdou,"THIAM, ABDOU",UConn,Big East,2016,11,14,999,8,3,55,24,0,0.0,false,0,16.162,1.0987,1501,99.4,true,true
American::iraolajoe,"Iraola, Joe",American,Patriot,2016,9,21,1361,6,7,46,22,0,0.0,false,0,16.091,0.8755,1494,98,true,true
American::nakhidpanos,"Nakhid, Panos",American,Patriot,2016,10,21,1743,2,9,60,23,0,0.0,false,0,16.055,0.7215,1494,95.1,true,true
Pacific::cervantesjulio,"CERVANTES, Julio",Pacific,West Coast,2016,7,21,1517,9,4,44,21,0,0.0,false,0,16.040,0.8037,1482,96.8,true,true
Delaware::delgadoguillermo,"Delgado, Guillermo",Delaware,Summit,2016,9,15,1266,6,6,42,20,0,0.0,false,0,15.929,0.9155,1504,98.3,true,true
Le Moyne College::faryarsalar,"Faryar, Salar",Le Moyne College,NEC,2016,14,19,1471,14,2,45,29,0,0.0,false,0,15.871,0.8151,1297,97.1,true,true
UC Santa Barbara::feuchtkevin,"Feucht, Kevin",UC Santa Barbara,Big West,2016,77,20,1833,11,2,44,19,0,0.0,false,0,15.731,0.6803,1445,93.8,true,true
Wright State::lyncheric,"Lynch, Eric",Wright State,Horizon,2016,14,19,1635,5,6,51,27,0,0.0,false,0,15.682,0.7428,1442,95.8,true,true
VCU::herranzjorge,"HERRANZ, Jorge",VCU,Atlantic 10,2016,20,19,1563,6,5,56,22,0,0.0,false,0,15.626,0.7669,1494,96.1,true,true
Virginia Tech::marceloacuna,Marcelo Acuna,Virginia Tech,ACC,2016,11,14,1144,8,1,65,28,0,0.0,false,0,15.443,0.9581,1528,98.7,true,true
Loyola University Maryland::saramagobrian,"Saramago, Brian",Loyola University Maryland,Patriot,2016,9,12,921,8,2,59,27,0,0.0,false,0,15.438,1.1137,1449,99.5,true,true
Rider University::aguinagajose,"Aguinaga, Jose",Rider University,Metro,2016,19,18,1422,5,9,35,18,0,0.0,false,0,15.384,0.8130,1471,97.1,true,true
